,County Name,Energy Burden Pct Income,ZIP Codes
0,Atlantic,3.7,"08201, 08203, 08205, 08213, 08215, 08221, 08225, 08231, 08232, 08234, 08240, 08401, 08402, 08403, 08406"
1,Bergen,1.7,"07010, 07020, 07022, 07024, 07026, 07057, 07601, 07604, 07605, 07606, 07607, 07608, 07621, 07624, 07626"
2,Burlington,2.18,"08010, 08011, 08015, 08016, 08019, 08022, 08036, 08041, 08042, 08046, 08048, 08052, 08054, 08055, 08057"
3,Camden,2.59,"08002, 08003, 08004, 08007, 08009, 08012, 08018, 08021, 08026, 08029, 08033, 08034, 08035, 08043, 08045"
4,Cape May,4.49,"08204, 08210, 08212, 08214, 08218, 08219, 08223, 08224, 08230, 08242, 08243, 08244, 08246, 08247, 08248"
5,Cumberland,4.11,"08302, 08311, 08314, 08315, 08316, 08318, 08321, 08323, 08324, 08327, 08329, 08332, 08340, 08345, 08348"
6,Essex,2.04,"07003, 07009, 07017, 07018, 07019, 07021, 07028, 07039, 07042, 07043, 07044, 07050, 07052, 07068, 07079"
7,Gloucester,2.75,"08012, 08014, 08020, 08027, 08028, 08032, 08039, 08051, 08056, 08061, 08062, 08063, 08066, 08071, 08080"
8,Hudson,1.49,"07002, 07030, 07032, 07047, 07086, 07087, 07093, 07094, 07096, 07302, 07304, 07305, 07306, 07307, 07310"
9,Hunterdon,2.0,"08801, 08804, 08809, 08822, 08825, 08826, 08827, 08829, 08833, 08848, 08851, 08853, 08858, 08867, 08885"
10,Mercer,1.86,"08501, 08510, 08520, 08525, 08530, 08534, 08540, 08550, 08554, 08560, 08561, 08608, 08609, 08610, 08611"
11,Middlesex,1.75,"07001, 07008, 07064, 07067, 07077, 07080, 07095, 08810, 08812, 08816, 08817, 08818, 08820, 08828, 08830"
12,Monmouth,2.04,"07701, 07702, 07703, 07704, 07711, 07712, 07716, 07717, 07718, 07719, 07720, 07721, 07722, 07723, 07724"
13,Morris,1.7,"07005, 07034, 07035, 07039, 07041, 07045, 07046, 07054, 07058, 07082, 07405, 07801, 07802, 07803, 07806"
14,Ocean,2.92,"08005, 08006, 08008, 08050, 08087, 08533, 08701, 08720, 08721, 08722, 08723, 08724, 08730, 08731, 08732"
15,Passaic,2.22,"07011, 07012, 07013, 07014, 07015, 07403, 07420, 07421, 07422, 07435, 07438, 07442, 07456, 07457, 07460"
16,Salem,3.87,"08001, 08023, 08038, 08067, 08069, 08070, 08072, 08079, 08098, 08318, 08320, 08343, 08347, 08353"
17,Somerset,1.49,"07059, 07920, 07921, 08502, 08504, 08528, 08553, 08558, 08805, 08807, 08821, 08823, 08835, 08836, 08844"
18,Sussex,3.02,"07416, 07418, 07419, 07421, 07422, 07428, 07439, 07460, 07461, 07821, 07822, 07823, 07826, 07827, 07837"
19,Union,1.76,"07016, 07023, 07027, 07033, 07036, 07060, 07062, 07063, 07065, 07066, 07076, 07083, 07090, 07091, 07201"
20,Warren,2.74,"07820, 07823, 07825, 07829, 07830, 07831, 07832, 07833, 07838, 07840, 07844, 07846, 07863, 07865, 07880"
